[674.94547413 471.39270032],[677.39957243 566.93291227]
[451.54348678 234.66814407],[395.96623116 979.47980211]
[499.17153706 468.03686362],[327.77057968 721.72338671]
[446.33706378 531.54026684],[215.54800158 611.27893797]
[542.10507163 393.43970196],[ 77.15926519 474.86596338]
[411.376033   452.42665073],[721.12068717 291.37902075]
[568.96823102 556.1192176 ],[456.32009501 717.35262007]
[369.44514902 388.05247384],[437.86283282  89.8322346 ]
[573.68373912 657.46340731],[302.58158976 422.63282633]
[496.89249115 431.65533725],[276.19854152 851.06251869]
[609.56296985 469.04233628],[ 83.89952875 869.46092516]
[572.57522248 654.90716334],[448.55685341 536.97617458]
[563.00798225 507.3493237 ],[977.29210479 168.6328859 ]
[573.22713539 435.74246076],[820.18245831 736.34887252]
[482.19068247 442.60454406],[108.89488001 618.80882485]
[479.56246843 451.35048999],[100.38928957 420.75824036]
[481.4224676  461.94635832],[367.32154137 551.94011492]
[508.89776353 506.36716614],[ 29.41957859 540.45000785]
[529.63471081 640.27711195],[449.90612457 735.57561323]
[345.31374324 629.56185848],[836.91685489 843.0259022 ]
[476.27495543 376.76537934],[804.94624273 974.04269061]
[482.75802328 509.18383749],[653.96321955 271.58513508]
[606.7558457  393.83655517],[224.20213737   9.32835161]
[521.7348208  511.78195044],[640.71527553 854.31241811]
[331.5889107  381.42447346],[490.28769092 914.26266722]
[560.01020056 569.55672554],[120.94494527 915.58154041]
[608.77108601 553.38217156],[742.7494056  104.33019718]
[539.52120129 512.28675294],[435.55309856 832.11390759]
[620.91016421 415.69338989],[153.58749991 749.52078035]
[485.8106419  538.53541381],[342.44842758 181.08611585]
[342.25056914 631.09436402],[883.57356601 745.30751946]
[420.71349922 492.82505878],[811.59077718 936.46476704]
[715.66744258 417.05627477],[403.71101158 786.76601749]
[447.06279724 656.17036937],[825.61984828 578.31877347]
[391.98061748 456.79423813],[620.98524698 714.36277647]
[551.60840373 545.53928603],[978.06085235 799.92358201]
[559.3686203  537.05063343],[926.01746982 349.28614914]
[634.53780718 601.59421464],[233.69327677 923.22620375]
[559.52784541 431.71983836],[ 52.64258272 741.49029532]
