[424.94547413 221.39270032],[ 69.95486181 753.05575821]
[201.54348678 -15.33185593],[552.38365644 354.041976  ]
[249.17153706 218.03686362],[ 87.92949364 772.53145544]
[196.33706378 281.54026684],[448.3732187 188.8628048]
[292.10507163 143.43970196],[282.50704088 936.7742078 ]
[161.376033   202.42665073],[525.49452123 970.33413989]
[318.96823102 306.1192176 ],[629.01661403 555.65349312]
[119.44514902 138.05247384],[ 88.45809228 669.64765434]
[323.68373912 407.46340731],[678.29385632 619.54770663]
[246.89249115 181.65533725],[ 32.57884695 617.17811242]
[359.56296985 219.04233628],[355.38210768 332.16107379]
[322.57522248 404.90716334],[595.92832851 581.21895076]
[313.00798225 257.3493237 ],[435.51588425 811.78065964]
[323.22713539 185.74246076],[787.25851075 667.3951681 ]
[232.19068247 192.60454406],[691.57987916 617.97826244]
[229.56246843 201.35048999],[896.20156427 665.02020719]
[231.4224676  211.94635832],[895.429708   159.25937735]
[258.89776353 256.36716614],[558.476166   241.36260196]
[279.63471081 390.27711195],[140.57453969 522.47731416]
[ 95.31374324 379.56185848],[272.34484935 821.55576725]
[226.27495543 126.76537934],[742.68812803  15.96032167]
[232.75802328 259.18383749],[985.9280608 823.5292264]
[356.7558457  143.83655517],[467.15691953  13.87605258]
[271.7348208  261.78195044],[ 94.93365923 359.30511995]
[ 81.5889107  131.42447346],[326.23695022 344.35733447]
[310.01020056 319.55672554],[362.88469432 692.63261294]
[358.77108601 303.38217156],[336.06399054  30.13806453]
[289.52120129 262.28675294],[240.21395076 931.11560901]
[370.91016421 165.69338989],[901.62966524 779.9574391 ]
[235.8106419  288.53541381],[ 23.48896928 994.46782797]
[ 92.25056914 381.09436402],[491.72018896 115.42419613]
[170.71349922 242.82505878],[846.47293976 449.0654177 ]
[465.66744258 167.05627477],[955.3428695  677.20171669]
[197.06279724 406.17036937],[660.45694241 206.72690391]
[141.98061748 206.79423813],[120.47009529 535.70955249]
[301.60840373 295.53928603],[836.23159728  95.802545  ]
[309.3686203  287.05063343],[435.75725896 652.61306685]
[384.53780718 351.59421464],[ 19.00250199 879.40921408]
[309.52784541 181.71983836],[592.84702691  20.15277321]
[178.64400706  59.17104583],[778.44796853 267.95433195]
[818.73123486  67.69904165],[284.61650694 956.15082899]
[837.91137997 434.63648729],[385.98182343 317.14906322]
[643.83455962 181.55153316],[562.26803696 866.45784568]
[702.37855201 333.03104296],[632.50111062 696.04995366]
[663.66474838 236.94585329],[546.99731025 922.34441928]
[697.69123674 224.87230756],[313.76541879 956.14816263]
[879.12747284 153.57951468],[248.02660964 219.89035378]
[757.17597742 277.16062962],[271.95479732 632.38293648]
[835.86671739 123.5926321 ],[298.69229174 854.70378224]
[861.4870285  293.47769867],[259.91675916 735.19333284]
[837.42727658 257.16521003],[687.7008107  620.04496225]
[586.09483733 185.26973687],[625.08196102 158.90929066]
[831.77695663 253.6794754 ],[287.41451592 214.68576782]
[745.12974576 429.15310966],[567.02825744 558.26361465]
[970.18563138 246.29330956],[267.68189375 589.7130531 ]
[943.29054285  50.64284687],[214.50935423 477.92950974]
[545.09427395 336.70552083],[330.30992908 435.86272851]
[723.80389268 307.89711071],[870.05935278 428.93421733]
[801.65523855 241.05963595],[105.71269997 699.65037237]
[818.21297105 265.07220092],[581.03849562 482.97346743]
[596.78574777 271.88685774],[ 79.5507882  379.58151245]
[768.56632544 433.27765368],[ 38.4743985  825.30389992]
[637.11055987 251.69968808],[908.80926606 244.60905893]
[707.55711751 236.70901009],[510.56183021 704.30327952]
[915.92046177 287.86406842],[940.38513209 517.96713704]
[703.54339375 265.3841245 ],[765.39815479 564.86093569]
[826.61606204 150.59723068],[406.81246611  19.93281105]
[723.56576712 404.22092203],[934.09617977 404.69383255]
[835.61520457 245.5197383 ],[810.72744659  23.75411544]
[702.2510771  234.59344756],[829.71224543 252.11713431]
[594.89205388 344.30359811],[413.49425682 888.70444667]
[784.11534385 263.82732173],[825.68151642 594.8960369 ]
[620.25773825 178.50375558],[417.55334663  62.48159363]
[801.44796333 275.77163811],[296.26115629 817.15844606]
[700.32695227 300.50219168],[847.80514934 991.78981595]
[843.87831252 182.49797253],[121.479891   539.64986522]
[696.91417599 163.01380565],[ 98.88684226 922.60197236]
[634.47357752 329.66718469],[698.22780934 418.0360412 ]
[801.00280218 283.87139365],[469.40710083 197.34510339]
[632.78799655 145.40323453],[448.74670196 592.58038047]
[493.23314357 458.67902466],[848.0403888 763.8802655]
[512.00827996 430.10283137],[433.43057805 178.68801648]
[565.40248821 679.94800741],[174.22564297 565.34774958]
[654.66060951 660.98739849],[291.20373761 880.21746412]
[507.10197803 592.15752314],[451.78326763 564.70957821]
[462.31701574 591.99825431],[678.27527149 474.241047  ]
[462.15774457 451.10245648],[466.04530739 417.46841559]
[435.5606183  569.91408369],[870.86191187 494.49505164]
[527.54066575 518.63253407],[154.57656699 172.91603265]
[386.01943478 514.18048905],[479.46595756 273.54231613]
[355.92806464 647.65128242],[483.35274731 458.95637094]
[486.84465167 519.44292017],[207.01201498  74.03687592]
[489.48507468 341.60374209],[224.28048331 115.98807218]
[362.82263144 497.16816618],[654.39541579 136.14722512]
[649.24714994 388.47627839],[883.44744895 328.47334889]
[429.45859741 495.27674255],[562.07974027 612.72053168]
[331.27193925 330.26578848],[480.4181189  146.72454884]
[458.85460577 495.47248569],[598.92821522 321.1365976 ]
[460.88268673 653.42223499],[751.69089237 623.69009708]
[483.58070527 536.03666532],[127.23603027 715.28432206]
[659.80499008 670.37218231],[799.0908812  792.14621934]
[341.04801059 462.27534831],[563.51201444 427.81332789]
[616.25055096 362.11412927],[725.10927562 903.45402162]
[407.60043202 370.24866101],[383.77650627 651.56393905]
[363.80657721 386.58146299],[ 19.09247912 115.68670455]
[517.68427518 626.89255155],[827.11971249 496.11726499]
[652.8022877  501.18879834],[649.45056162   2.43442318]
[302.94281134 494.33674148],[320.81548034 458.98760128]
[466.07975849 535.23211225],[966.29012042 165.95474134]
[487.15868878 320.38869043],[210.92208638 455.22036702]
[541.3283446  293.21645633],[706.7607803  824.22923818]
[430.98887857 531.17507136],[615.00512283 774.41861186]
[535.03665669 657.1348006 ],[711.02245677 838.19917941]
[263.75864069 533.9984209 ],[748.32768285 826.6623968 ]
[568.93803455 467.27858633],[620.06980742 519.43474002]
[563.80315244 389.80013691],[630.44350871 611.4121078 ]
[565.70275801 553.82152468],[281.88612268 854.15194349]
[401.83703463 433.33601868],[491.63769619  85.63414619]
[481.01760642 434.39146466],[500.14460757 710.17213107]
[604.43970822 517.51674659],[786.70448361 352.47843685]
[881.47333313 867.52495668],[472.24026271 611.47237334]
[756.08470118 730.6895421 ],[475.56521174 292.57876009]
[655.33443449 669.53893755],[573.60362403 108.80068914]
[669.88088819 784.78505379],[635.31199261 913.57216931]
[661.63341846 757.86582817],[202.12444838 703.67416703]
[769.25891282 700.37656901],[815.96002344 326.39147054]
[731.37754556 894.53699084],[112.2409078  596.19575898]
[911.19815202 671.73669754],[634.39920876 797.68239689]
[730.53865559 712.78679525],[211.65320243  58.39495519]
[722.42334547 903.51378359],[621.6056129  526.08843072]
[818.64546384 875.99157159],[504.50033741 218.86426509]
[927.68794881 705.96864999],[517.51009643 897.84043252]
[731.27927298 754.04065826],[661.72633423 809.09167974]
[852.6036481  740.90021929],[539.5190553   64.33024377]
[814.57863259 866.8308637 ],[360.48402265 883.73633796]
[866.3230321  794.66788914],[180.34924945 171.43142346]
[671.12845721 594.58979019],[137.0099522  445.42581533]
[862.16330814 795.65999372],[653.59405622 451.6436106 ]
[656.25241182 699.4923822 ],[702.97447547 338.39999697]
[705.11995011 582.50509988],[882.25487793 135.67037141]
[775.15460937 671.29608611],[119.71036065 272.77855875]
[720.55932668 823.97007056],[861.07457759  61.11400289]
[740.43640947 804.30531953],[993.5921448 197.4234284]
[792.23852387 753.1669127 ],[808.31855664 286.70093514]
[754.88309762 936.16133563],[173.98459986 761.95924009]
[732.93241074 912.76720445],[713.5486256  340.13050235]
[658.59992969 822.94006922],[256.70623345 615.78071806]
[767.09054275 677.07455635],[672.05499719 440.1644904 ]
[485.25354744 909.49247147],[909.21964937 880.27224647]
[634.47959523 653.69459491],[676.07672077 295.3323186 ]
[762.96300123 755.71391433],[181.63059136 483.64408979]
[777.87961144 724.59218577],[452.59551577 848.9034117 ]
[600.03841718 836.7012621 ],[913.1424157  218.59502208]
[659.53132183 772.3289986 ],[524.64884998  57.55780818]
[807.44411328 868.22252275],[634.72726107  60.49339554]
[728.20965894 719.45609408],[614.24958507  34.09047079]
[726.66880814 565.14148106],[421.99203936 565.96062702]
[674.5183642  649.56159608],[633.75070528 413.89293277]
[635.0136957  766.76933905],[973.63641379 170.23195355]
[718.85117454 909.62650397],[ 95.06125766 442.00901673]
[398.89588817 561.75511664],[464.22364216 898.68286583]
[262.25792162 649.88355185],[ 94.34179965 885.62243609]
[305.61905346 765.81197547],[675.71204731 584.73457951]
[343.05168353 781.08328132],[147.08209044 581.86780097]
[326.12064864 720.1429398 ],[313.01014317 651.83441477]
[ -0.80932779 631.49171677],[946.95813121 715.21669089]
[164.50679354 700.98504474],[ 46.9597928  803.51859268]
[148.78375535 913.31813663],[168.18566838 143.85007433]
[233.18435773 879.60508648],[ 39.99123176 483.57965631]
[216.17268056 915.42691098],[669.70894335 315.10989663]
[129.97232572 809.96606398],[130.12471726 575.98814477]
[117.00358037 794.2057669 ],[  6.16564719 463.36325708]
[408.67044484 586.60054195],[963.30754043 903.83134132]
[162.80224019 774.52447857],[673.55632807 888.59790923]
[231.40721236 613.09559992],[714.82031971 207.61827273]
[365.66889631 755.23149302],[993.85503599 576.33810203]
[379.35507886 781.86222563],[642.03887345 982.36375607]
[134.66016954 701.87580634],[324.18516193 498.48129848]
[388.20987236 611.41417459],[264.5520343  945.11555052]
[203.42028397 810.06247235],[980.44788027 205.46179837]
[351.50264673 832.73610894],[361.24859212 893.38042062]
[102.57973165 958.63777198],[974.68496078 233.46938665]
[233.53324787 751.22356537],[775.10830947 772.99793332]
[249.69909209 726.80491564],[830.127049   536.26381804]
[153.29018531 717.30397205],[879.35869758 172.93737727]
[382.23417591 613.78544993],[921.64019227 625.27452442]
[  6.77458933 803.49728872],[665.00114335 386.91034791]
[283.76592166 822.7863204 ],[357.26768099 552.2144117 ]
[422.71905512 677.47090452],[590.54160058 279.50334486]
[267.71621843 800.25693315],[ 62.20964822 322.09102851]
[373.16241802 852.59229205],[344.89596914 674.6557869 ]
[165.6991293  612.24962436],[894.24137637 360.42209166]
[222.73199999 588.71307618],[859.17076445  82.91872476]
[360.95451162 710.52104978],[272.0133117  955.67488527]
[214.38880253 661.00049035],[976.43193581 916.41739625]
[402.3543021  778.78543037],[927.75099299 515.02304869]
[208.76610838 811.14326014],[744.79861506 501.88973979]
[241.45241075 809.34978736],[709.94244249 367.99849465]
[381.88113625 723.5115738 ],[389.10762714 627.63561315]
